id_empresa	id_formula	fecha	cant_producida	n_batches	cant_m_prima_usada	costo_m_prima_usada	costo_unitario_diario	id_usuario	fec_registro
01	PTGR130	31/07/1998 00:00:00	16800.000	12.000	16809.344	5472636.296	325.570	ERSS	24/08/1998 14:14:56:4
01	PTGR155	31/07/1998 00:00:00	16200.000	9.000	16216.520	5462601.514	336.850	ERSS	24/08/1998 14:14:56:51
01	PTRP155	31/07/1998 00:00:00	54000.000	30.000	54069.400	18199357.288	336.590	ERSS	24/08/1998 14:14:56:73
01	PTCI160	31/07/1998 00:00:00	25200.000	14.000	25245.154	8664998.537	343.230	ERSS	24/08/1998 14:14:56:29
01	PTGR162	31/07/1998 00:00:00	32400.000	18.000	32423.378	11185295.162	344.980	ERSS	24/08/1998 14:14:56:56
01	PTCI161	31/07/1998 00:00:00	36000.000	20.000	36029.820	12351004.107	342.800	ERSS	24/08/1998 14:14:56:34
01	PTGR142	31/07/1998 00:00:00	14400.000	8.000	14424.024	4803425.221	333.020	ERSS	24/08/1998 14:14:56:45
01	PTGR176	31/07/1998 00:00:00	28800.000	16.000	28825.696	9753401.418	338.360	ERSS	24/08/1998 14:14:56:73
01	PTGR170	31/07/1998 00:00:00	27000.000	15.000	27013.915	9073470.901	335.880	ERSS	24/08/1998 14:14:56:62
01	PTGR162	01/08/1998 00:00:00	16200.000	9.000	16230.689	5602162.931	345.160	ERSS	24/08/1998 14:35:27:77
01	PTGR174	01/08/1998 00:00:00	10800.000	6.000	10818.158	3553671.652	328.490	ERSS	24/08/1998 14:35:27:77
01	PTGR162	03/08/1998 00:00:00	39600.000	22.000	39650.762	13674650.113	344.880	ERSS	24/08/1998 14:37:30:58
01	PTGR176	03/08/1998 00:00:00	37800.000	21.000	37849.541	12810761.588	338.470	ERSS	24/08/1998 14:37:30:64
01	PTRP191	03/08/1998 00:00:00	14000.000	10.000	14025.760	4322476.716	308.180	ERSS	24/08/1998 14:37:30:86
